,human,zen,source
223,"Yeah, I know I should always use protection when I have sex, and I know I should tell my partner.  But what difference does it make? I take my meds, and besides, HIV don’t kill you like it used to, they got meds now. Heck I know a couple of fellas that have had it for years and years, I mean a LONG time and they look real good.","Being healthy is important to you. You take your medication as prescribed and you know not to mess around with missing doses. But, you do wonder if protective sex is really all that important to staying heathy. ",University of Michigan Pair Dataset (HQ1)
224,There’s so many meds I am supposed to take. I’m not sure if they do anything anyway. Besides we all have to die from something anyway.,"You're so overwhelmed by the number of medications that you're taking, you're starting to feel that it's pointless to take them because you'll die anyway. ",University of Michigan Pair Dataset (HQ1)
225,"It’s true. I do get down sometimes, but this is a private thing. I don’t want my parents or friends to find out.",You realize you might benefit from getting help but you're scared that people will find out and judge you.,University of Michigan Pair Dataset (HQ1)
226,"I have felt this way for a long time, as long as I can remember. It’s just the way it is. I am sort of used to it. What’s the point?",You've been dealing with some pretty heavy things for so long that you're not quite sure how to process all of them.,University of Michigan Pair Dataset (HQ1)
227,"I have had thoughts of offing myself, but I keep it to myself. I don’t want anyone thinkin I’m crazy.",You’re scared of what people would really think of you if they knew the truth about how you’ve been feeling.,University of Michigan Pair Dataset (HQ1)
228,"Maybe I need help, but I don’t want people to know about it. People who need therapy, everyone thinks they are whiners, weak. I could never let anyone know about it, particularly guys from my battalion.","You’re starting to think that you may benefit from having someone to talk to, as long as it’s something you could keep quiet about for now. You’re not quite ready for the other guys to know.",University of Michigan Pair Dataset (HQ1)
229,I would talk to someone but what if someone finds out about my business. The words gets out on facebook and stuff and everybody finds out.,You’re concerned about what would happen if people found out.,University of Michigan Pair Dataset (HQ1)
230,"Of course I want things to be different, but I am not taking any of these antidepressant pills, the pills make it worse",You want to feel better but medication doesn’t seem like an option for you.,University of Michigan Pair Dataset (HQ1)
231,I do feel like giving up sometimes but I don’t think that means I am depressed.,You’re not entirely sure what the negative feelings you’ve been having mean.,University of Michigan Pair Dataset (HQ1)
232,"Listen, I really don’t see the point of doing this program. I feel they are pushing me to do it, something about my monthly payment going up if I don’t, plus I already get all these tests from my doctor. Frankly, I feel it’s a bit of a scam, and to be honest, I am not sure if I want to know if I have another problem to deal with, not now.","All of this feels like too much right now. Too much pressure, too many appointments, too much to talk about… You’re just not convinced this is the right program for you.",University of Michigan Pair Dataset (HQ1)
233,I am very busy today; can we just go over my test results? I don’t have a lot of time to get into my life and stuff right now,It wouldn’t be helpful to you if we spent a little time talking about how you’ve been doing lately.,University of Michigan Pair Dataset (HQ1)
234,"I drink a bit and smoke a little weed. Sure, it ain’t good for me, but I don’t see how I can make it through the day without it. I am edgy all the time and have these nightmare images in my head. I am not a drug addict. This is just a short-term thing to get through the first few months back.","If you could find another way to get through the day without alcohol or weed, it might be something you’d consider, especially if it would help you feel less edgy and get rid of your nightmares.",University of Michigan Pair Dataset (HQ1)
235,"I think people are scared of me. They treat me differently since coming home, they all want to show how they are behind us, but they also look at us like freaks. I wonder how I come across to them. I guess they worry that I did horrible things or have PTSD or something.",What everyone else thinks of you has a significant impact on you.,University of Michigan Pair Dataset (HQ1)
236,Things have been bad with my wife.  She is ready to leave me.  I scream at her all the time and my kids.  She says I need help and I tell her I need time and I need her to stop bugging me.,You recognize that you’re not in a good place with your wife and your kids. She’s pushing you to get help but even knowing she could leave any day isn’t enough to get you to reach out.,University of Michigan Pair Dataset (HQ1)
237,"Well, I went once, I had to wait for over an hour, and all I did was paperwork, we barely talked about anything important, and the social worker was not a vet.",Your previous experience getting mental health support didn’t pan out the way you hoped it would.,University of Michigan Pair Dataset (HQ1)
238,"I am so angry about this whole f***cking mess. I never signed up thinking I’d have two tours let alone one. I knew it was a possibility, but I never thought it would turn out this way that I would have to be away for so long, be away from my family, my job, for what?","You’re pissed off about how all of this played out. If you'd known what was going to happen, you would have enlisted. ",University of Michigan Pair Dataset (HQ1)
239,"I guess I feel lucky. I only lost time, two of my buddies were blown to pieces, and I was right there 15 minutes ago, so how can I complain about a little stress. Their families have lost everything, I need to be strong for them.",You feel grateful to be alive and acknowledge that it could easily have been you who didn’t make it home.,University of Michigan Pair Dataset (HQ1)
240,"No matter how much people say they understand. They don’t, they have no goddamn idea what is like there, it was hell and they don’t really want to hear it, so I don’t tell them.",You don’t think others will ever really understand what you dealt with over there so you’ve found that it’s really easier to just keep everything to yourself.,University of Michigan Pair Dataset (HQ1)
241,"They tell us that we have to be loyal to them you know, Corp, God, Country…blah blah…but where is the loyalty to us? They won’t pay for my college, I have to drive two hours to get medical care, they promise us a lot but they don’t deliver.","You feel like you put everything on the line and now that you’re back, it doesn’t feel like that is being reciprocated.",University of Michigan Pair Dataset (HQ1)
242,"It sucks that we are never allowed to question the war publically. I’m not sure it was the right thing, I’m not sure they are better off, not  sure we are better off, but if you question it, you are unpatriotic, you are some liberal navel gazer, you are a traitor.",You’ve never really had the opportunity to talk through your own thoughts and opinions about your military experience.,University of Michigan Pair Dataset (HQ1)
243,"I know he is overweight but the teacher said that my son is falling behind on his homework and that is just as important, and we don’t want to bug him about keep his food diary. He hates writing stuff down. I’m not sure we can continue with this program. We have to focus on school now.  His weight can wait.  Have to have priorities.","You really care about your son and want to make sure that you're prioritizing for him. While you do want him to eventually work on losing weight, right now it feels like focusing on school is the best option. ",University of Michigan Pair Dataset (HQ1)
244,"So have you ever had a sick child, how can you really relate to me?",You’re concerned I won’t be able to help you.,University of Michigan Pair Dataset (HQ1)
245,"So, have you ever smoked, or had to quit, how can you really relate to me?",You’re concerned I can’t understand you or won’t be able to help you.,University of Michigan Pair Dataset (HQ1)
246,I’ve spoken to so many people about my weight but everything they say just doesn’t work for me.,"You've tried to reach out for help with your weight, but you haven't found a tool that works for you just yet. ",University of Michigan Pair Dataset (HQ1)
247,"I eat at McDonalds a few times a week. There’s nothing better than a Big Mac, fries, and a shake.",You love McDonald's. You're a little worried that we're going to ask you to give it up entirely.,University of Michigan Pair Dataset (HQ1)
248,"When I am really down,  a bowl of ice cream is sometimes the only thing that makes me feel better.  I know I am going to have to give it up.",You're scared that we might ask you to give up ice cream.,University of Michigan Pair Dataset (HQ1)
249,"Have you ever had Krispy Kreme glazed donuts, oh my god, you have to try them.",Krispy Kreme donuts are a huge temptation for you. You're not quite sure how you can stick to a diet with that kind of temptation around.,University of Michigan Pair Dataset (HQ1)
250,On weekends I love having a few joints and chilling.,You look forward to lighting up on weekends. It helps you decompress after a long week.,University of Michigan Pair Dataset (HQ1)
251,On weekends I love having a few vikes (Vicodin) and chilling.,You look forward to using vicodin on weekends. It helps you decompress after a long week.,University of Michigan Pair Dataset (HQ1)
252,"I know I have to lose weight. I hate how I look and how I feel. I hate how my clothes feel. But I’m really stressed at school, and my parents are crazy. I don’t know if I can deal with anything else now, maybe in a few months.","Although right now you don’t feel you could handle working on your weight, you are starting to feel the effects and are thinking that maybe in a few months you might be able to start.",University of Michigan Pair Dataset (HQ1)
253,I know I should get more exercise. It will help with my weight and my sugar.  I used to love playing hockey. I miss the rush. But now with three kids and two jobs it’s almost impossible.  My wife would kill me if I took another night off from the kids,You’d really like to find a way to get more physical activity in but it feels like it might not be possible because of your job and family commitments.,University of Michigan Pair Dataset (HQ1)
254,"I know I have to lose weight.  I miss feeling comfortable in my skin. I hate how my clothes feel. I miss not feeling like a slug. I know my blood sugar is “pre” blah blah. But with losing my job and my husband getting sick I don’t know if I can deal anything else now, maybe in a few months.","While you don’t think you’re ready to put any effort into weight loss right now, you’re starting to think about what it might look like a couple months down the road.",University of Michigan Pair Dataset (HQ1)
255,I used to run with my girlfriends back in DC every morning. We would stop for coffee afterwards and hang out. It was great. But that seems like a lifetime ago.  Since moving to Boston though I don’t know anyone to run with.,"If you could find someone here to recreate that daily routine with, it’d be something you’d want to do.",University of Michigan Pair Dataset (HQ1)
256,"I know we would all be better off if we were more active, but we are so busy and so tired all the time. We did have a great time when we went camping last summer but I’m not sure we  can pull that off again.",Your busy schedule seems to stand in your family’s way of being more active.,University of Michigan Pair Dataset (HQ1)
257,"I just love sweets. Cookies, candy, ice cream, you name it.  And I know it is making me fat.  I actually like fruit but my mom never buys any. She says they are really expensive and nobody eats them.","While you know that the sweets you enjoy may have played a role in your weight gain, you’ve also found that there are healthy alternatives you really enjoy.",University of Michigan Pair Dataset (HQ1)
258,I’ll probably drink less when I am older but for now I am going to party.,"Down the line you might want to consider changing how much you drink, but at this stage of your life it doesn't feel necessary to make any changes. ",University of Michigan Pair Dataset (HQ1)
259,Maybe sometimes I drink too much but I still get decent grades. I don’t really see the  big problem here. I don’t let it get in the way,You're able to keep yourself together even when you party.,University of Michigan Pair Dataset (HQ1)
260,"I know oxy ain’t good for me, but it is the only thing that makes me feel happy. It ain’t like I am shooting heroin. ","You've been feeling sad a lot lately and need something to get you through this difficult time. You've been turning to oxy, but you're starting to feel like you might be using it a bit more than you would like.",University of Michigan Pair Dataset (HQ1)
261,"I know weed can turn you into a zombie and it ain’t good for me, but it really helps me when I am nervous, in social situations I feel more relaxed after I smoke. Takes the edge off.","While you do think smoking helps you when you're feeling nervous, you are starting to feel it might not be that good for you and that you might be becoming too reliant on it.",University of Michigan Pair Dataset (HQ1)
262,I would only go talk to someone if they can help me get a job and if they promise not to push meds on me.,You want to talk to someone but you’re worried that they might have an agenda that doesn’t align with yours.,University of Michigan Pair Dataset (HQ1)
263,Of course I want things to be different but I am not taking any of these antidepressant pills…the pills make it worse.,You want things to get better but you want to do it without medication.,University of Michigan Pair Dataset (HQ1)
264,"I probably should start using condoms with my boyfriend, he slept with someone and gave me an STI.  I haven’t brought it up with him. I don’t want him to think I don’t trust him. ",You don’t want a repeat STI so you’re starting to consider using condoms from now on.,University of Michigan Pair Dataset (HQ1)
265,I know it’s wrong to get into all these fights. I hate getting in trouble at school. But you don’t understand what it’s like to live in Flint. Things are f**cked up here.,"You want things to be different. On one hand you really don’t like being labeled a troublemaker at school but on the other hand, you have to act a certain way due to the crummy environment.",University of Michigan Pair Dataset (HQ1)
266,"Last year I was working my way to the top of my class, so I didn’t want to fight and get suspended and ruin that. But it’s hard with so many idiots around running their mouth.","You’ve put in a lot of effort to get to where you are. Even with all of the effort, sometimes you find that other people running their mouth could be enough to set you back.",University of Michigan Pair Dataset (HQ1)
267,"I don’t fight that much anymore. I’ve grown up. It’s not worth it to me anymore, I’m trying to go to college. Today though, this idiot was running his mouth about my sister and I couldn’t stop myself.","While you’ve been working hard to turn things around, there are still some situations that warrant you getting involved.",University of Michigan Pair Dataset (HQ1)
268,I am tired of getting in trouble and  being in and out of the ER.  This is my third visit this year. Maybe I need to change my life.,Being in and out of the ER and getting into trouble are starting to get tiring. You’re considering what it would take to change things around.,University of Michigan Pair Dataset (HQ1)
269,Sometimes I feel guilty that I hurt her.  People tell me real men don’t hit their women. I don’t know. Maybe they’re right.,"Being labeled a ‘real man’ is important to you. If you have to stop hitting her to be labeled a ‘real man’, you’re thinking you might want to start changing how you treat her.",University of Michigan Pair Dataset (HQ1)
270,We fight a lot. But I love him. My friends all say I should leave him.  They say he’s abusive. But where would I go? Maybe my life would be better without him.,You’re curious what your life would look like without him. You might make the deicison to leave if you had someplace else to go.,University of Michigan Pair Dataset (HQ1)
271,I don’t see the big deal about this.  Everyone has to go at it once in a while. You gotta’ stand up for yourself.  Though I am getting tired of coming here to get fixed up.  I keep getting these bills in the mail. One day they gonna take my car or something.,You’re worried about what might happen if you keep getting into fights that send you to the hospital.,University of Michigan Pair Dataset (HQ1)
272,I would quit if I had another way to cope with all the stress,You’re starting to think about what it would take to quit for good.,University of Michigan Pair Dataset (HQ1)
273,I think maybe I am addicted to the bull.  That scares me.  Maybe it’s time to do something about it.,The thought of being addicted is concerning to you so you’re starting to think about what you can do.,University of Michigan Pair Dataset (HQ1)
274,"I know, I know, I have to quit, every day I say this is my last dip. I just need a little push.","You find yourself trying to quit every day. You're motivated to quit, you just haven't found the right tools to get you there. ",University of Michigan Pair Dataset (HQ1)
275,"Of course, I want a healthy baby, I just need to get through this pregnancy. My other son is so worried about me chewing. I don’t want him to worry.",You really want a healthy baby and you recognize that you may need to quit chewing to have one.,University of Michigan Pair Dataset (HQ1)
276,"I’m not ready to stop today, but soon. I know I have to stop, everything I read says it is bad. I think about it a lot, I know my husband would be relieved.",Every day it feels like you’re getting closer and closer to your time to quit.,University of Michigan Pair Dataset (HQ1)
277,Maybe if I got a little more exercise it would help me quit.,"If you could figure out a way to get more exercise, you think you might be able to quit.",University of Michigan Pair Dataset (HQ1)
278,"I know I should quit, I know it’s bad for my baby, but everyone I know does it.","You’d really like to quit for yourself and for your baby, but you’re worried you might not get the support you need since everyone close to you also smokes. ",University of Michigan Pair Dataset (HQ1)
279,I know its bad to have my phone out all the time. I have so many emails coming in. Sometimes I want to space out and check my Instagram.,Your phone seems like a necessity. Sometimes you need it for work and other times it’s a much needed distraction.,University of Michigan Pair Dataset (HQ1)
280,"I know its better to wear a helmet, but I really enjoy the freedom of riding without restraints, makes me feel unstoppable.","Riding without a helmet is better for you, but it's hard to wear one because you enjoy riding without restraints. ",University of Michigan Pair Dataset (HQ1)
281,I don’t know if I want to vaccinate my child. I want to protect my child against disease but some of my friends think it causes autism. I’m not sure it does but I will regret it if something happened.,"You've heard that there might be a connection between vaccination and autism but you're not sure if it's true. If it's ok with you, I can share more...",University of Michigan Pair Dataset (HQ1)
282,"I have a hard time checking my blood sugar, so busy with the kids and work, kept thinking about that time I checked my sugar and ended up giving myself too much insulin, don’t want end up like my mom.",It’s hard to find a middle ground between checking your blood sugar often enough and giving yourself the right amount of insulin.,University of Michigan Pair Dataset (HQ1)
283,"I know I am overdue with a colonoscopy, did it when I was 50. I’m 60 now. The prep was horrible. Mine turned out fine and no one in my family has had colon cancer. ",You know that you’re due for a colonoscopy but you’re not feeling like it’s that urgent because your last test was fine and you don’t have a family history of cancer.,University of Michigan Pair Dataset (HQ1)
284,Never had money growing up. Making more now than I never had. Love to treat myself. I pay my credit cards. Yes they are maxed out. I had to take out a loan for my house but that was worth it.,The thought of being in debt doesn’t concern you at all.,University of Michigan Pair Dataset (HQ1)
285,"A lot on my plate, work, school, planning a wedding. Things will calm down eventually but I cannot sleep or eat enough now.",You’re feeling anxious by everything going on right now and it’s having an effect on every aspect of your life.,University of Michigan Pair Dataset (HQ1)
286,Most of the time I am really good about taking the pill but sometimes it slips my mind. Maybe I should ask my partner to use a condom but that kills the mood.,You are committed to using protection. It's just a matter of whether you figure out a way to take your birth control pills exactly as prescribed or ask your partner to take responsibility for birth control.,University of Michigan Pair Dataset (HQ1)
287,"I am willing to give condoms a try but my partner isn't. He tells me he trusts me so there is no point. Truth is, I don’t know how I can tell him that I have been cheating.",You want to do the right thing to protect you and your partner but you’re worried that if you push it too much you’ll have to tell him the truth about your other relationships.,University of Michigan Pair Dataset (HQ1)
288,"I drink a bit and smoke a little weed, sure it ain’t good for me, but I don’t see how I can make it through without it. I am anxious from the nightmares. It's not like I am a drug addict. I'll stop in a few months, after I get settled into being back home. ",You eventually would like to be get through your day without weed.,University of Michigan Pair Dataset (HQ1)
289,"Well, I have just been really busy lately. I have a full-time job, and taking care of my family is my other full-time job. I really have no time for working out and eating healthy. Sometimes grabbing fast food or prepared food at the grocery store is all I have to give me an extra ten minutes of sleep. At one time, I used to eat salad at every meal and I  liked that light feeling it gave me, but nowadays it is impossible to try and regulate what I am eating. We generally eat hamburgers and fries from McDonald’s. Sometimes my husband grabs a rotisserie chicken from the local grocery store. Really, I am just so tired at night, and I really just don’t have the energy to cook a healthy well balanced meal.","You used to eat salad and you miss the feeling it gave you. If you had more time, you would like to feed you family something healthier. There is something about exercise and eating better than you would like in your life.
",University of Michigan Pair Dataset (HQ1)
290,"I realize that I need to exercise, but it is next to impossible. I am uncomfortable going to a gym because I feel so self-conscious in my workout clothes. I would rather stay at home just to avoid feeling embarrassed. The other day, I did poke my head into the gym that is nearby my work, but I felt so self-conscious that I just turned around and left. My doctor said that I had to start exercising, but I still don’t feel all that motivated to be that physical. Plus, it is hard to find a good amount of time to exercise b/c you have to change your clothes and then you have to take a shower, wash your hair, re-do it, and well by the time you have done all that, there is not much time before you have to go to sleep. And personally, I just don’t have the time or the desire to do all of this.","You've been thinking a lot about physical activity and ways that you might be able to get more into your routine. Despite the fact that you hate the gym, you even made your way over there to check it out. ",University of Michigan Pair Dataset (HQ1)
291,"We tried to reduce the amount of TV she watches but it didn’t go so well.  In the morning I need to get dressed, take a shower, make some breakfast and I usually end up letting her watch the Wiggles or Dexter’s Laboratory just to give me some free time.  In the afternoon I feel it might be easier…since maybe I could get her involved in an art project or playing outside.","You really want to decrease the amount of tv that your daughter watches. You have a lot going on in the morning so it's helpful to have the tv on when you're running around the house. But, you have started to consider what kinds of activities you might be able to engage her in if you were to turn off the tv in the afternoon. ",University of Michigan Pair Dataset (HQ1)
292,"I tried giving my kids fruit for snack, if they don’t have their cookies, they make a huge fuss.They expect sweets after school, and I can’t stand the sound of their whining when they don’t get what they want.  Plus, I kind of like baking homemade treats.","Your kids are pretty wed to a sweet treat after school. Baking something that has some fruit in it, or is a little more healthy might satisfy both you and your kids.",University of Michigan Pair Dataset (HQ1)
293,"I've tried everything to help my child lose weight. I always have carrot sticks available and don’t let him eat any fried food. I tell him exactly what he can have and watch what he eats very closely. I also make him exercise every day. I’m constantly on him, and yet he hasn’t lost a pound!",You want to help your child in any way you can. You have his best interests in mind but you're starting to wonder if controlling everything he eats and how much he exercises is the way to go.,University of Michigan Pair Dataset (HQ1)
294,"It's just difficult to change my snacking habits.  It's become like a hobby or something, it's what I look forward to when I have a stressful day... But I'm putting on a lot of weight and it seems that all I do for fun is eat.","For you, food is a source of joy and it helps you relax.  But you've also been concerned about what snacking does to your waistline. ",University of Michigan Pair Dataset (HQ1)
295,"I really want to lose weight, and want to start working out, so this week I decided to go to the gym at 6am before work everyday.  But I keep oversleeping.","You're feeling like this is going to be your time to lose weight. You're motivated and ready to get started. Now, you just need to figure out a way to get out of bed in the morning. ",University of Michigan Pair Dataset (HQ1)
296,"If I try to quit drinking, I’ll have to go live on an island by myself for a month or so.  And I can’t do that, I have a family.  My kids need me.  And it’s not fair to them that I take out my anger on them.  And usually when I try to quit, my husband will hand me a drink after a couple hours and beg me to have some so I shut up.","Your drinking is causing conflict in your family. You're at a place where you know it'd be best for your family if you were to quit, but you're not sure how to make that happen without leaving to detox. ",University of Michigan Pair Dataset (HQ1)
297,"Yeah  since they cut down my juice dose. I’ve been drinking a little bit, at least it’s legal, hell I have two kids and no help. It beats trying to use on top, haven’t done that for weeks.",It's been a struggle since your dose has been reduced. You've found that you've had to turn to alcohol to get you through.,University of Michigan Pair Dataset (HQ1)
298,"If I want to find a job, I know I can.  I got good grades in high school, but right now, I just want to figure out where to live without having to be around these smack heads, being around them is bad for me.",You're ready to turn your life around. You know you have the skills to find a good job and provide for yourself. You just need to figure out a way to remove yourself from this situation.,University of Michigan Pair Dataset (HQ1)
299,"I really want to lose weight, so this week I decided to be really good and tried to cut out all sweets from my diet. However, I felt miserable by the end of the day and finally broke down and ate a whole box of chocolates. ","You've been thinking about losing weight and decided that cutting out sweets might be a good place to start. While this attempt wasn't successful, it did teach you a couple things that you think you can apply to your next attempt. ",University of Michigan Pair Dataset (HQ1)
300,"My problem is food at work. They give us free snacks all day, usually sweets and chips. You know junk and no matter how much I try to avoid going into the lounge,  I usually give in and sneak a handful of this or that. If they had something healthier maybe I would grab that instead.","It's really hard to stick to your resolve when you're at work and sweets and treats are all around. If you could find a way to stay out of the lounge, you might be willing to give it a try. ",University of Michigan Pair Dataset (HQ1)
301,"Diets don’t work for me.  I’ve tried them all.  I lose 10 then gain back 11.  Initially I feel great, then I end up feeling deprived and in the back of my mind I know I need to change how I eat and even my relationship with food. I have to stop eating fast food and all that dashboard dining.  I actually like cooking but I just don’t make the effort to do it. It used to be fun, now it seems like chore who has 2 hours to cook such a fancy meal.",You're an expert at dieting. The problem that you've found is that you overly deprive yourself which then causes you to eat fast food.,University of Michigan Pair Dataset (HQ1)
302,"I’ve tried to stop eating so many sweets and desserts. I love candy, ice cream, cake and anything with sugar. It tastes so good and makes me feel happy. I know it’s not good for me, and diabetes runs in our family but I have a serious sweet tooth.","On one hand you love sweets and anything with sugar. But, on the other hand, you recognize that it's not good for you and with your family history of diabetes, you're already have a genetic predisposition that concerns you. ",University of Michigan Pair Dataset (HQ1)
303,"I used to be really active.  Played tennis in a league, biked, hiked, but somehow life and middle age got in the way.  And now I do nothing. It feels weird starting it up again, what if I am no good at it, I used to be so good. I was an A grade player, I am going to feel like I suck, and I dread feeling winded and out of shape. I will probably be sore too the next day, it just seems so foreign to me now.","You used to be really active but you've gotten out of shape over the years. You're ready to get back to it but you have some concerns about feeling winded, being sore, and not being very good. If you had some plans in place to deal with those issues, you may be more likely to overcome them. ",University of Michigan Pair Dataset (HQ1)
304,"My brother lost 10lbs the first week and 2lbs every week for a few months.  Me, I’m lucky to lose a pound.  I must be doing something wrong.  He always beats me at EVERYTHING. At this rate I am never going to lose the 50lbs.. I don’t think I can do this.",You feel a bit discouraged when you compare your weight loss to your brothers.,University of Michigan Pair Dataset (HQ1)
305,"Sure,  I would feed them better . I know all this junk food is bad. But it cost so much to buy healthy food. Have you seen the price of fresh fruits and vegetables lately. And, fish, forget about it. I can afford chicken, but they get bored with the same old thing.  And frozen vegetables have all that salt and MSG in it.","You really want to feel your children healthy food, but it feels like you’re stuck between a rock and a hard place. Healthy food is expensive and when you are able to afford it, the kids sometimes turn their nose up.",University of Michigan Pair Dataset (HQ1)
306,Do you have diabetes ? Do you have any idea how hard it is to live with this?,You're concerend that because I don't have diabetes I can't understand what you're going through.,University of Michigan Pair Dataset (HQ1)
307,Have you ever tried to get off coke ? Do you have any idea how hard it is to quit this stuff?,You believe that I may not understand exactly how hard your struggle is.,University of Michigan Pair Dataset (HQ1)
308,"So, were you ever heavy, how can you really relate to me?","You're worried that because I'm not overweight, I won't be able to help you. ",University of Michigan Pair Dataset (HQ1)
309,Have you ever smoked ? Do you have any idea how hard it is to quit,You're worried that because I'm not a smoker I can't understand what you're going through.,University of Michigan Pair Dataset (HQ1)
310,"So, have you ever had breast cancer or any cancer for  that matter, do you know what it’s like to have your body turn on you like this?",You feel betrayed by your own body.,University of Michigan Pair Dataset (HQ1)
311,"I don’t want to come back. I am so scared of having Cancer, my mom died of it.",Your mom's experience still haunts you.,University of Michigan Pair Dataset (HQ1)
312,"So do you have MS, do you know what it’s like to have to inject yourself everyday, to live with such uncertainty.",Daily injections are a huge bummer and really have a negative impact on your life.,University of Michigan Pair Dataset (HQ1)
313,"I don’t eat any lunchmeat anymore, bread hardly ever, I don’t hardly use salt anymore",You've really tried to change your diet in hopes of being healthier.,University of Michigan Pair Dataset (HQ1)
314,"Well, I read canned vegetables are better than the fresh stuff.","You've done research to try to figure out what's healthire -- fresh or canned. If it's ok with you, I can share a little more....",University of Michigan Pair Dataset (HQ1)
315,I can do that when I’m at the store.,You're committed to doing it the next time you head to the store.,University of Michigan Pair Dataset (HQ1)
316,"I’d like to eat less processed foods, but I guess I’m not sure what those are. ","While you are ready to start eating fewer processed foods, you're going to need some information before you're ready to get started. If it's ok with you, I can share...",University of Michigan Pair Dataset (HQ1)
317,"I like going to the gym, I like exercising; I exercise a couple hours a week. But I’m not sure what to do when the gym is closed.",You know that exericse is good for you and you enjoy going to the gym. Right now you're looking for ideas of things you can do to get physical activity on the days the gym is closed.,University of Michigan Pair Dataset (HQ1)
